Entity,Code,Year,Coal,Gas,Hydropower,Solar,Wind,Oil,Nuclear,Other renewables,Bioenergy
Germany,DEU,2000,52.145176,8.647509,3.8193161,0,1.6433781,3.1725106,29.811054,0,0.76105106
Germany,DEU,2001,50.737553,9.586486,3.9261408,0.017272947,1.8067503,3.5444088,29.588558,0,0.7928283
Germany,DEU,2002,51.32246,9.644374,3.9605317,0.034260657,2.7168698,3.1742496,28.23763,0,0.90962034
Germany,DEU,2003,50.600468,10.396491,3.0430374,0.05149245,3.1709383,3.833696,27.417236,0,1.4866368
Germany,DEU,2004,49.010826,10.280512,3.4038715,0.09186352,4.268373,3.7926512,27.406498,0,1.745407
Germany,DEU,2005,46.978836,11.76998,3.202139,0.21358462,4.527668,4.325496,26.58395,0,2.3983433
Germany,DEU,2006,45.847347,11.858141,3.1783562,0.3602031,4.9698505,4.238337,26.542368,0,3.0053952
Germany,DEU,2007,47.076534,12.272223,3.3544607,0.49754402,6.418951,4.2116942,22.26747,0,3.9011252
Germany,DEU,2008,43.525913,13.99358,3.2326941,0.7132804,6.5444655,4.070917,23.484478,0.0031631056,4.431511
Germany,DEU,2009,43.10667,13.652288,3.2366147,1.1429348,6.7045374,3.9509487,22.948837,0.0034015917,5.2537584
Germany,DEU,2010,42.115635,14.219573,3.3562422,1.9160218,6.175806,4.259784,22.518063,0.004806075,5.434068
Germany,DEU,2011,43.381817,14.16033,2.9206612,3.3041322,8.2413225,4.044628,17.846281,0.0033057851,6.0975204
Germany,DEU,2012,44.566887,12.253755,3.50914,4.314225,8.338039,3.996386,16.046852,0.004840193,6.969878
Germany,DEU,2013,45.768555,10.640156,3.652591,4.8627105,8.37555,4.0099096,15.4504595,0.012704664,7.2273655
Germany,DEU,2014,44.34909,9.795556,3.1660607,5.729293,9.454545,3.9870708,15.697778,0.016161617,7.804445
Germany,DEU,2015,42.586483,9.61716,2.969476,5.957727,12.613234,4.0005007,14.360812,0.020338876,7.8742747
Germany,DEU,2016,40.801533,12.567028,3.2033293,5.8548446,12.4579115,3.9577875,13.192105,0.026499564,7.938957
Germany,DEU,2017,37.43599,13.350712,3.1266484,6.014337,16.399776,3.9040434,11.842472,0.024826985,7.901188
Germany,DEU,2018,36.085278,12.899347,2.797811,7.0095525,17.389446,3.737268,12.019991,0.0284684,8.032833
Germany,DEU,2019,28.570713,14.997749,3.28784,7.5355363,20.97852,3.7327733,12.509789,0.033328332,8.353746
Germany,DEU,2020,23.749449,16.762241,3.3030436,8.73401,23.310102,3.7547421,11.359506,0.04058227,8.986325
Germany,DEU,2021,28.44531,15.602162,3.3965065,8.524092,19.722544,3.8422334,11.943057,0.04146295,8.482628
Germany,DEU,2022,31.740402,13.944751,3.1082418,10.637172,22.017004,3.8191504,6.1229887,0.037044875,8.573243
Germany,DEU,2023,24.62504,15.128672,4.1916637,12.604594,27.735237,4.1364064,1.42485,0.037496053,10.11604
Germany,DEU,2024,21.437933,15.808787,4.8045325,14.945866,28.548964,4.11097,0,0.044355735,10.298595
