Entity,Code,Year,Coal,Gas,Hydropower,Solar,Wind,Oil,Nuclear,Other renewables,Bioenergy
Europe,OWID_EUR,2000,27.16365,20.842146,16.921268,0.0013780843,,6.509611,27.09107,0.16628884,0.7933172
Europe,OWID_EUR,2001,26.66587,20.984386,16.936037,0.0040569142,,6.338026,27.472069,0.16272733,0.8336958
Europe,OWID_EUR,2002,26.868113,21.797712,15.230671,0.0064896117,,6.4828987,27.682447,0.1653732,0.95128757
Europe,OWID_EUR,2003,27.462767,22.793394,14.012714,0.009191679,,5.9962573,27.46802,0.17617385,1.0997188
Europe,OWID_EUR,2004,26.061739,23.868013,14.781861,0.015015241,1.2825161,5.3218307,27.180805,0.17653635,1.3116885
Europe,OWID_EUR,2005,25.362719,24.862122,14.738586,0.031908106,1.5123597,5.2041907,26.609459,0.17623417,1.5024279
Europe,OWID_EUR,2006,25.984396,24.875866,14.193035,0.05295521,1.7377616,5.0324063,26.256855,0.19977614,1.666947
Europe,OWID_EUR,2007,25.620375,26.421019,14.279504,0.079367034,2.178184,4.4388113,24.933758,0.21964365,1.8293382
Europe,OWID_EUR,2008,24.340748,27.309263,14.552954,0.15395755,2.468812,4.160921,24.76825,0.22676705,2.0183284
Europe,OWID_EUR,2009,23.161396,26.68527,15.385685,0.30559653,2.885524,4.013387,24.982569,0.24422061,2.3363485
Europe,OWID_EUR,2010,22.32568,27.56152,15.444008,0.4839956,3.096998,3.6502528,24.64054,0.23031795,2.5666928
Europe,OWID_EUR,2011,23.217329,26.542528,13.887202,0.99421436,3.77533,3.8661828,24.708757,0.24447556,2.7639778
Europe,OWID_EUR,2012,24.272766,23.888475,14.868053,1.4870926,4.295088,3.755278,24.117449,0.25379878,3.0619993
Europe,OWID_EUR,2013,23.853569,22.598946,16.064226,1.7976998,4.979376,3.1750534,23.977953,0.26325974,3.2899187
Europe,OWID_EUR,2014,22.45048,22.034687,16.202217,2.0875986,5.436266,3.25325,24.708061,0.2765631,3.5508766
Europe,OWID_EUR,2015,21.842068,22.515852,15.267286,2.2937515,6.431159,3.2878082,24.317696,0.2759526,3.7684252
Europe,OWID_EUR,2016,20.111046,24.454803,15.777427,2.344057,6.367053,3.3251793,23.558323,0.27875385,3.7833543
Europe,OWID_EUR,2017,19.270824,25.300383,14.549876,2.4988031,7.5636663,3.1715739,23.495188,0.27996004,3.8697202
Europe,OWID_EUR,2018,18.192034,24.689291,15.786478,2.6851413,7.884098,3.0621006,23.449331,0.29417205,3.9573534
Europe,OWID_EUR,2019,15.3213005,26.451616,15.110082,2.9707677,9.151118,2.900845,23.651817,0.2994006,4.143057
Europe,OWID_EUR,2020,13.355559,25.679853,16.94094,3.5952568,10.525378,2.656085,22.544844,0.30847767,4.393606
Europe,OWID_EUR,2021,14.294845,25.39543,16.53465,3.849885,9.710827,2.6555822,22.845074,0.28650114,4.427203
Europe,OWID_EUR,2022,15.13254,26.159513,14.5314865,4.9794183,11.109512,2.8996518,20.557878,0.29502335,4.334981
Europe,OWID_EUR,2023,12.502852,24.748915,16.635647,6.076062,12.770837,2.6589906,20.053596,0.295419,4.257677
Europe,OWID_EUR,2024,11.403825,23.680635,17.449986,7.1642666,12.829841,2.5525079,20.331474,0.2857622,4.301699
